"course","title"
"http://is-concordia.io/INSE6510","Video Game Technology and Development"
"http://is-concordia.io/COMP473","Pattern Recognition"
"http://is-concordia.io/PSYC827","APC Practicum IV: Adult"
"http://is-concordia.io/ELEC435","Electromechanical Energy Conversion Systems"
"http://is-concordia.io/ENGL470","Honours Seminar"
"http://is-concordia.io/ETEC665","Introduction to Digital Media"
"http://is-concordia.io/ELEC6371","Design of Wireless RF Systems"
"http://is-concordia.io/ITAL240","Intermediate Italian: Intensive Course"
"http://is-concordia.io/INSE6250","Quality Methodologies for Software"
"http://is-concordia.io/FBRS396","Topics in Fibre Surfaces"
"http://is-concordia.io/SCOL290","Directed and Independent Study I"
"http://is-concordia.io/RELI396","Food and Religion"
"http://is-concordia.io/IMCA399","Special Topics in Intermedia"
"http://is-concordia.io/FTRA452","Traduction automatique (TA) et traduction assistée par ordinateur (TAO)"
"http://is-concordia.io/FTRA658","Pratique de la localisation Co-listé : FTRA 558"
"http://is-concordia.io/CIVI6621","Engineering Aspects of Biological Treatment of Water and Air"
"http://is-concordia.io/PERC464","Oral History performance"
"http://is-concordia.io/ACTT436","One Act Project"
"http://is-concordia.io/MBA645","Economics for Organizational Decision Making"
"http://is-concordia.io/PERC471","Directing II"
"http://is-concordia.io/ELEC7451","Power System Compensation"
"http://is-concordia.io/COMS477","Communication Media: Sound III"
"http://is-concordia.io/CHEM614","Modern Aspects of Practical Mass Spectrometry"
"http://is-concordia.io/INSE8901","Master of Applied Science Research and Thesis"
"http://is-concordia.io/COMP426","Multicore Programming"
"http://is-concordia.io/ELEC6151","Information Theory and Source Coding"
"http://is-concordia.io/MARK458","The Marketing of Food"
"http://is-concordia.io/MECH6141","Heat Exchanger Design"
"http://is-concordia.io/MECH6041","Virtual Systems Engineering"
"http://is-concordia.io/TESL201","Introduction to Teaching English as a Second Language"
"http://is-concordia.io/COMP6331","Advanced Game Development"
"http://is-concordia.io/SCPA411","Internship"
"http://is-concordia.io/ENCS6043","Seminar in Innovation Process"
"http://is-concordia.io/COMP6721","Introduction to Artificial Intelligence"
"http://is-concordia.io/ACTT211","Voice and Movement for the Stage l"
"http://is-concordia.io/MARK492","Cross-Cultural Communications"
"http://is-concordia.io/MECH460","Finite Element Analysis"
"http://is-concordia.io/IMCA471","Independent Study in Intermedia I"
"http://is-concordia.io/SCUL312","Metal Casting: Bronze and Aluminum II"
"http://is-concordia.io/PRIN470","Independent Study in Print Media"
"http://is-concordia.io/ENCS691","Technology Policy Immersion"
"http://is-concordia.io/HIST368","African Popular Culture"
"http://is-concordia.io/GERM202","Introductory German II"
"http://is-concordia.io/ACTT458","Movement for Stage lV"
"http://is-concordia.io/MPER321","Chamber Ensemble I"
"http://is-concordia.io/PERC415","Independent Study II"
"http://is-concordia.io/ACTU286","Actuarial Mathematics Lab I"
"http://is-concordia.io/APLI660","Research Methods"
"http://is-concordia.io/CATA348","Therapeutic Modalities in Sports Medicine"
"http://is-concordia.io/AHSC537","Internship II in Youth Work"
"http://is-concordia.io/CATA495","Athletic Therapy Clinical Internship II"
